Feature,Importance
cat__Circuit_ID_1500517,6.778026583007874e-09
cat__Connection_Date_2017-12-21 00:00:00,6.730758089664675e-09
cat__City_LAFAYETTE,6.472245593799103e-09
cat__County_Queens,6.284010062511766e-09
cat__Connection_Date_2020-10-06 00:00:00,6.234183527479067e-09
cat__Division_West,6.225692212336355e-09
cat__Circuit_ID_36_32_24551,6.2076558907277905e-09
cat__Connection_Date_2021-12-15 00:00:00,6.137300085491852e-09
cat__Circuit_ID_0205LS5202,5.998608372838961e-09
cat__Developer_GENERAL ELECTRIC,5.818372520612977e-09
cat__County_Rockland,5.761886079649113e-09
cat__Circuit_ID_0070RO5236,5.647301231270151e-09
cat__Circuit_ID_1500113,5.509597478760588e-09
cat__Circuit_ID_6073,5.497808713506804e-09
cat__Circuit_ID_41582,5.479125890972922e-09
cat__City_OLEAN,5.347247364310848e-09
cat__Circuit_ID_8W77,5.318756288215881e-09
cat__Circuit_ID_8104601,5.222732378740857e-09
cat__Substation_Saugerties,5.222367256217288e-09
cat__Connection_Date_2022-02-03 00:00:00,5.136299224124629e-09
cat__City_Hyde Park,5.0545125143107926e-09
"cat__Developer_C2 Omega, LLC",4.984256024285764e-09
cat__County_Rensselaer,4.817904928262529e-09
cat__Division_Catskill,4.811155122551693e-09
cat__Developer_Solar City,4.776256099482912e-09
"cat__Developer_Elie Schecter (Potsdam Community Solar, LLC)",4.733448921744224e-09
cat__Circuit_ID_8WF1H1,4.7177448765499055e-09
cat__Connection_Date_2023-11-20 00:00:00,4.661065457538799e-09
cat__City_White Plains,4.64933044653036e-09
cat__Connection_Date_2021-10-09 00:00:00,4.637399239549698e-09
cat__City_Lagrange,4.508679395921047e-09
cat__Substation_FRONT ST 360,4.48635860133749e-09
cat__Developer_Joe Fiori (Nexamp Solar LLC),4.342586819451782e-09
cat__Developer_Renovus Solar,4.285996013585702e-09
cat__Substation_MAPLEHURST,4.2521382740508066e-09
cat__Developer_Hudson Solar,4.209464480997695e-09
cat__Developer_GREEN POWER DEVELOPERS LLC,4.147447780381686e-09
cat__Connection_Date_2017-05-01 00:00:00,4.145830107434027e-09
cat__City_Staten Island,4.125566889364765e-09
cat__Division_CENY-BX,4.119663985428612e-09
cat__City_Walton,4.0995298979308004e-09
cat__Circuit_ID_36_06_8254,4.0843448627149765e-09
cat__Circuit_ID_8107402,4.059559493585567e-09
cat__City_Tomkins Cove,4.0038890405273105e-09
cat__Developer_OYA Solar Inc.,3.9981180403820195e-09
cat__Circuit_ID_36_30_14951,3.940738483220979e-09
cat__Substation_MUMFORD 50,3.883460201439316e-09
cat__Connection_Date_2019-06-19 00:00:00,3.827465750320832e-09
cat__Substation_NYS-MACEDON 602,3.7233206564285166e-09
cat__Substation_0071RO5110-852 Manitou RD,3.6827130281670145e-09
cat__Connection_Date_2017-02-17 00:00:00,3.677746604375783e-09
cat__Substation_E. DUNKIRK 63,3.587554038028576e-09
cat__Developer_Adam Loudon (Portville CSG 3 LLC),3.585216378417196e-09
cat__Circuit_ID_4202302,3.5552411402585638e-09
cat__Connection_Date_2017-10-25 00:00:00,3.539962452967166e-09
cat__Connection_Date_2013-12-19 00:00:00,3.5382732254424922e-09
cat__Substation_PETERBORO 514,3.535549382608837e-09
cat__County_Columbia,3.494245036812565e-09
cat__Developer_Citizens Energy,3.4916491561391184e-09
cat__Substation_BUTTS RD 72,3.4747839134358226e-09
cat__Connection_Date_2020-07-14 00:00:00,3.426556837433368e-09
cat__Connection_Date_2023-08-28 00:00:00,3.3957138087953585e-09
cat__Developer_BQ Energy Inc.,3.3283865332678188e-09
cat__Substation_Chester,3.320818914815778e-09
cat__Substation_0205LS5202-1589 RTE 104,3.319861371358642e-09
cat__Division_Ithaca,3.242078510923268e-09
cat__Connection_Date_2020-12-31 00:00:00,3.204443086345721e-09
cat__Substation_9A,3.197238115841392e-09
cat__Developer_Forefront Power LLC,3.181478689744627e-09
cat__Connection_Date_2019-12-24 00:00:00,3.1738662748502493e-09
cat__City_UTICA,3.167639949839037e-09
cat__Division_Fillmore,3.162707057239985e-09
cat__Connection_Date_2020-12-23 00:00:00,3.158658406521586e-09
cat__Developer_FOREFRONT POWER LLC,3.158409221348354e-09
cat__City_Farmingville,3.119339005304708e-09
cat__Circuit_ID_1107433,3.1061571210411614e-09
cat__Connection_Date_2017-08-02 00:00:00,3.0856454928376236e-09
cat__Circuit_ID_3005,3.067442441083913e-09
cat__Connection_Date_2019-05-10 00:00:00,3.058702221737339e-09
cat__City_Buchanan,2.9818146150609835e-09
cat__Substation_Todd Hill,2.9225832464320092e-09
cat__Connection_Date_2022-11-30 00:00:00,2.8966798259043006e-09
cat__Connection_Date_2021-05-07 00:00:00,2.8480812539225553e-09
cat__Developer_Sybac Solar,2.836419342474253e-09
cat__Substation_Rhinebeck,2.8233940301384515e-09
cat__Circuit_ID_36_31_26453,2.808195342159476e-09
cat__City_Middletown,2.75867380372432e-09
cat__Division_CENY-W,2.704412747016901e-09
cat__Circuit_ID_0126RO5226,2.694169644272341e-09
cat__Connection_Date_2019-09-26 00:00:00,2.6531825745243212e-09
"cat__Developer_174 Power Global NorthEast, LLC",2.649953541399388e-09
cat__Connection_Date_2016-11-17 00:00:00,2.6233897582348894e-09
cat__Circuit_ID_36_11_24453,2.5930787040645607e-09
cat__Connection_Date_2019-09-19 00:00:00,2.5895625416381254e-09
cat__City_Rochester,2.585329256768956e-09
